bronzé	VERB	bronzer
,	PUNCT	,
la	DET	le
sans	ADP	sans
par	ADP	par
à	ADP	à
blonde	NOUN	blonde
—	PUNCT	—
Ils	PRON	il
un	DET	un
-	PROPN	-
rencontre	VERB	rencontre
l'	DET	le
,	PUNCT	,
sous	ADP	sous
.	PUNCT	.
le	DET	le
y	PRON	y
Belmondo	PROPN	Belmondo
—	PUNCT	—
va	VERB	aller
humeur	NOUN	humeur
prochain	ADJ	prochain
classes	NOUN	classe
est	AUX	être
mauve	ADJ	mauve
suissesse	NOUN	suissesse
essuya	VERB	essuyer
un	DET	un
,	PUNCT	,
prix	NOUN	prix
Oui	ADV	oui
français	ADJ	français
candidat	NOUN	candidat
régulièrement	ADV	régulièrement
.	PUNCT	.
pris	VERB	prendre
elle	PRON	lui
tremplin	NOUN	tremplin
te	PRON	te
homme	NOUN	homme
?	PUNCT	?
puis	CCONJ	puis
sourit	VERB	sourire
acteurs	NOUN	acteur
la	DET	le
nom	NOUN	nom
de	ADP	de
travers	NOUN	travers
aidera	VERB	aider
d'	DET	d'
en	ADP	en
?	PUNCT	?
avec	ADP	avec
instant	NOUN	instant
,	PUNCT	,
femmes	NOUN	femme
,	PUNCT	,
brune	ADJ	brun
en	ADP	en
il	PRON	il
est	AUX	être
le	DET	le
—	PUNCT	—
elle	PRON	lui
,	PUNCT	,
.	PUNCT	.
chanter	VERB	chanter
habitants	NOUN	habitant
Boiteux	ADJ	boiteux
,	PUNCT	,
.	PUNCT	.
il	PRON	il
il	PRON	il
voyage	NOUN	voyage
une	DET	un
devenir	VERB	devenir
tragédie	NOUN	tragédie
cite	VERB	cite
Conservatoire	NOUN	conservatoire
un	DET	un
redonne	VERB	redonne
de	ADP	de
sa	DET	son
demanda	VERB	demander
C'	PRON	ce
,	PUNCT	,
fit	VERB	faire
reste	VERB	reste
Tony	PROPN	Tony
trouver	VERB	trouver
parfaite	ADJ	parfait
Pourtant	ADV	pourtant
—	PUNCT	—
Paris	PROPN	Paris
garçons	NOUN	garçon
vedettes	NOUN	vedette
promenaient	VERB	promener
,	PUNCT	,
mieux	NOUN	mieux
un	DET	un
de	ADP	de
Comédie	PROPN	Comédie
avait	AUX	avoir
moment	NOUN	moment
leur	DET	leur
cette	DET	ce
joue	NOUN	joue
est	AUX	être
pas	ADV	pas
de	ADP	de
Tony	PROPN	Tony
un	DET	un
grande	ADJ	grand
j'	PRON	je
premier	ADJ	premier
Tony	PROPN	Tony
concours	NOUN	concours
trois	NUM	trois
était	AUX	être
viens	VERB	venir
de	ADP	de
jamais	ADV	jamais
Française	ADJ	français
,	PUNCT	,
prenant	VERB	prendre
Moi	PRON	moi
un	DET	un
rêve	NOUN	rêve
.	PUNCT	.
-il	PRON	il
retroussé	VERB	retrousser
.	PUNCT	.
.	PUNCT	.
dont	PRON	dont
plus	ADV	plus
,	PUNCT	,
et	CCONJ	et
ses	DET	son
joue	NOUN	joue
maison	NOUN	maison
ils	PRON	il
Deloir	PROPN	Deloir
avoir	VERB	avoir
admirait	VERB	admirer
.	PUNCT	.
,	PUNCT	,
ce	PRON	ce
de	ADP	de
l'	PRON	l'
un	DET	un
bras	NOUN	bras
,	PUNCT	,
journalistes	NOUN	journaliste
reste	VERB	reste
si	SCONJ	si
amis	NOUN	ami
ils	PRON	il
,	PUNCT	,
—	PUNCT	—
pensaient	VERB	penser
radio	NOUN	radio
talent	NOUN	talent
.	PUNCT	.
,	PUNCT	,
il	PRON	il
je	PRON	je
.	PUNCT	.
la	DET	le
ce	DET	ce
le	DET	le
le	DET	le
le	DET	le
Bientôt	ADV	bientôt
lui	PRON	lui
lancer	VERB	lancer
mais	CCONJ	mais
Célimène	PROPN	Célimène
,	PUNCT	,
de	ADP	de
la	DET	le
le	DET	le
de	DET	de
qu'	PRON	qu'
,	PUNCT	,
.	PUNCT	.
rien	PRON	rien
savourant	VERB	savourer
,	PUNCT	,
basse	ADJ	bas
.	PUNCT	.
qui	PRON	qui
la	DET	le
que	SCONJ	que
une	DET	un
l'	DET	le
,	PUNCT	,
Prix	NOUN	prix
allez	VERB	aller
as	VERB	avoir
Tout	ADJ	tout
mains	NOUN	main
,	PUNCT	,
au	ADP	au
.	PUNCT	.
des	ADP	de
administrateur	NOUN	administrateur
il	PRON	il
premier	ADJ	premier
bousculait	VERB	bousculer
et	CCONJ	et
son	DET	son
amis	NOUN	ami
.	PUNCT	.
—	PUNCT	—
devinrent	VERB	devenir
à	ADP	à
geste	NOUN	geste
l'	PRON	l'
je	PRON	je
?	PUNCT	?
Même	ADV	même
même	ADV	même
du	ADP	de
d'	ADP	de
hurlait	VERB	hurler
.	PUNCT	.
savez	VERB	savoir
a	AUX	avoir
visage	NOUN	visage
est	AUX	être
matin	NOUN	matin
de	ADP	de
elle	PRON	lui
lauréats	NOUN	lauréat
nouveau	ADJ	nouveau
théâtre	NOUN	théâtre
plus	ADV	plus
plus	ADV	plus
.	PUNCT	.
en	ADP	en
proclamation	NOUN	proclamation
autour	ADV	autour
un	DET	un
accélérée	VERB	accélérer
un	DET	un
déconcertante	ADJ	déconcertant
applaudissements	NOUN	applaudissement
Vivien	PROPN	Vivien
Tous	ADJ	tout
sa	DET	son
,	PUNCT	,
attendait	VERB	attendre
pas	ADV	pas
néanmoins	ADV	néanmoins
,	PUNCT	,
Devant	ADP	devant
,	PUNCT	,
.	PUNCT	.
feuille	NOUN	feuille
des	ADP	de
se	PRON	se
.	PUNCT	.
.	PUNCT	.
Tu	PRON	tu
concours	NOUN	concours
trombe	NOUN	trombe
instant	NOUN	instant
Quant	ADV	quant
et	CCONJ	et
avec	ADP	avec
télévision	NOUN	télévision
autres	ADJ	autre
de	ADP	de
tu	PRON	tu
de	ADP	de
sur	ADP	sur
au	ADP	au
.	PUNCT	.
de	ADP	de
mordillait	VERB	mordiller
Je	PRON	je
,	PUNCT	,
en	ADP	en
,	PUNCT	,
Ils	PRON	il
,	PUNCT	,
une	DET	un
taillés	VERB	tailler
avant	ADP	avant
cou	NOUN	cou
,	PUNCT	,
sourire	NOUN	sourire
déjà	ADV	déjà
.	PUNCT	.
de	ADP	de
merci	NOUN	merci
je	PRON	je
De	ADP	de
les	DET	le
éclatant	ADJ	éclatant
inclinait	VERB	incliner
-il	PRON	il
voir	VERB	voir
—	PUNCT	—
fallut	VERB	falloir
,	PUNCT	,
d'	ADP	de
sommes	AUX	être
salle	NOUN	salle
un	DET	un
larmes	NOUN	larme
s'	PRON	se
portés	VERB	porter
la	DET	le
renonce	VERB	renoncer
les	DET	le
entre	ADP	entre
épaules	NOUN	épaule
En	ADP	en
scène	NOUN	scène
vite	ADV	vite
une	DET	un
des	ADP	de
quelque	DET	quelque
en	ADP	en
la	DET	le
du	DET	de
l'	PRON	l'
féliciter	VERB	féliciter
décerné	VERB	décerner
s'	PRON	se
,	PUNCT	,
des	DET	un
charme	NOUN	charme
un	DET	un
le	DET	le
faisant	VERB	faire
la	DET	le
-	PROPN	-
un	DET	un
Puis	CCONJ	puis
la	DET	le
trônait	VERB	trôner
sorte	NOUN	sorte
décontracté	ADJ	décontracté
.	PUNCT	.
scène	NOUN	scène
,	PUNCT	,
?	PUNCT	?
simple	ADJ	simple
pour	ADP	pour
-t	PRON	-t
Mesdemoiselles	NOUN	mademoiselle
Les	DET	le
accessits	NOUN	accessit
il	PRON	il
admirateurs	NOUN	admirateur
,	PUNCT	,
des	DET	un
intensément	ADV	intensément
Bravo	NOUN	bravo
presque	ADV	presque
qu'	SCONJ	que
inscrire	VERB	inscrire
Molière	PROPN	Molière
,	PUNCT	,
minable	ADJ	minable
Le	DET	le
.	PUNCT	.
du	ADP	de
nouveau	ADJ	nouveau
recommencer	VERB	recommencer
bataille	NOUN	bataille
destin	NOUN	destin
sur	ADP	sur
!	PUNCT	!
Après	ADP	après
des	ADP	de
—	PUNCT	—
