ne	ADV	ne
teinta	VERB	teinter
ne	ADV	ne
œil	NOUN	œil
vie	NOUN	vie
le	PRON	le
quatre	NUM	quatre
onguent	NOUN	onguent
sa	DET	son
refusait	VERB	refuser
pas	ADV	pas
huileuses	ADJ	huileux
des	DET	un
on	PRON	on
teinte	VERB	teindre
,	PUNCT	,
maintenant	ADV	maintenant
de	ADP	de
,	PUNCT	,
—	PUNCT	—
visage	NOUN	visage
mettre	VERB	mettre
veux	VERB	vouloir
!	PUNCT	!
s'	PRON	se
était	AUX	être
-	NOUN	-
s'	SCONJ	s'
était	AUX	être
se	PRON	se
liquide	ADJ	liquide
le	DET	le
cette	DET	ce
casque	NOUN	casque
avec	ADP	avec
vous	PRON	vous
électronique	ADJ	électronique
de	ADP	de
à	ADP	à
éviter	VERB	éviter
cette	DET	ce
avait	VERB	avoir
et	CCONJ	et
obligation	NOUN	obligation
rien	PRON	rien
lui	PRON	lui
ce	PRON	ce
Avec	ADP	avec
dans	ADP	dans
subissait	VERB	subir
craquela	VERB	craqueler
,	PUNCT	,
Je	PRON	je
il	PRON	il
à	ADP	à
—	PUNCT	—
lavé	VERB	laver
observait	VERB	observer
obligeance	NOUN	obligeance
emploi	NOUN	emploi
pas	ADV	pas
.	PUNCT	.
alcool	NOUN	alcool
ressembler	VERB	ressembler
tiédeur	NOUN	tiédeur
de	ADP	de
une	DET	un
force	NOUN	force
,	PUNCT	,
SSS	PROPN	SSS
Carlos	PROPN	Carlos
quand	SCONJ	quand
la	DET	le
sont	AUX	être
la	DET	le
tenta	VERB	tenter
lieu	NOUN	lieu
de	ADP	de
puis	CCONJ	puis
,	PUNCT	,
appareil	NOUN	appareil
étudiaient	VERB	étudier
besoin	NOUN	besoin
et	CCONJ	et
y	PRON	y
délassé	VERB	délasser
de	ADP	de
on	PRON	on
soudaine	ADJ	soudain
finies	VERB	finir
qui	PRON	qui
la	DET	le
temps	NOUN	temps
durant	ADP	durant
noire	ADJ	noir
se	PRON	se
avait	AUX	avoir
allez	VERB	aller
il	PRON	il
à	ADP	à
,	PUNCT	,
fallait	VERB	falloir
ciselaient	VERB	ciseler
Carlos	PROPN	Carlos
frisée	VERB	friser
,	PUNCT	,
manifestait	VERB	manifester
en	ADP	en
,	PUNCT	,
spectaculaires	ADJ	spectaculaire
éléments	NOUN	élément
qui	PRON	qui
laver	VERB	laver
qui	PRON	qui
lavomat	NOUN	lavomat
nous	PRON	nous
,	PUNCT	,
l'	DET	le
,	PUNCT	,
,	PUNCT	,
fut	AUX	être
des	DET	un
,	PUNCT	,
.	PUNCT	.
se	PRON	se
afin	ADV	afin
panique	ADJ	panique
mesure	NOUN	mesure
ornés	VERB	orner
le	DET	le
forces	NOUN	force
de	ADP	de
cette	DET	ce
des	ADP	de
:	PUNCT	:
,	PUNCT	,
subissait	VERB	subir
afin	ADV	afin
à	ADP	à
de	ADP	de
ces	DET	ce
qu'	SCONJ	que
,	PUNCT	,
s'	PRON	se
voulait	VERB	vouloir
chasser	VERB	chasser
droit	NOUN	droit
ses	DET	son
bouche	NOUN	bouche
faire	VERB	faire
l'	DET	le
était	AUX	être
fauteuil	NOUN	fauteuil
plus	ADV	plus
loi	NOUN	loi
fut	AUX	être
ne	ADV	ne
maintint	VERB	maintenir
se	PRON	se
en	ADP	en
on	PRON	on
un	DET	un
dans	ADP	dans
est	AUX	être
laquée	VERB	laquer
était	AUX	être
En	ADP	en
obéissait	VERB	obéir
l'	PRON	l'
Social	ADJ	social
sortirai	VERB	sortir
moderne	ADJ	moderne
!	PUNCT	!
,	PUNCT	,
idée	NOUN	idée
vêtements	NOUN	vêtement
qu'	SCONJ	que
était	AUX	être
Carlos	PROPN	Carlos
.	PUNCT	.
piège	NOUN	piège
voir	VERB	voir
se	PRON	se
fût	AUX	être
ton	NOUN	ton
avec	ADP	avec
à	ADP	à
cet	DET	ce
contraignait	VERB	contraindre
pistils	NOUN	pistil
de	ADP	de
peau	NOUN	peau
cela	PRON	cela
appeler	VERB	appeler
délicats	ADJ	délicat
il	PRON	il
une	DET	un
son	DET	son
un	DET	un
d'	ADP	de
machine	NOUN	machine
-il	PRON	il
ce	DET	ce
,	PUNCT	,
société	NOUN	société
pouvait	VERB	pouvoir
—	PUNCT	—
monsieur	NOUN	Monsieur
»	PUNCT	»
du	ADP	de
vos	DET	votre
n'	ADV	n'
votre	DET	votre
il	PRON	il
qu'	PRON	qu'
corps	NOUN	corps
certes	ADV	certes
Son	DET	son
