hommes	NOUN	homme
plus	ADV	plus
?	PUNCT	?
exclamai	VERB	exclamer
kilowatts	NOUN	kilowatt
de	ADP	de
a	AUX	avoir
de	ADP	de
en	ADP	en
tous	ADJ	tout
je	PRON	je
.	PUNCT	.
confiance	NOUN	confiance
lettre	NOUN	lettre
,	PUNCT	,
tout	PRON	tout
une	DET	un
de	ADP	de
n'	ADV	n'
historiques	ADJ	historique
prononcer	VERB	prononcer
Hot	PROPN	Hot
Springs	PROPN	Springs
une	DET	un
Elle	PRON	lui
Sil	PROPN	Sil
-je	PRON	je
en	PRON	en
bien	ADV	bien
romans	NOUN	roman
?	PUNCT	?
situé	VERB	situer
le	PRON	le
pas	ADV	pas
Donald	PROPN	Donald
de	ADP	de
Dès	ADP	dès
...	PUNCT	...
entre	ADP	entre
un	DET	un
on	PRON	on
Oh	INTJ	Oh
M.	NOUN	m.
Bill	PROPN	Bill
parie	VERB	parier
toujours	ADV	toujours
.	PUNCT	.
—	PUNCT	—
me	PRON	me
?	PUNCT	?
déjeunerons	VERB	déjeuner
,	PUNCT	,
—	PUNCT	—
le	DET	le
thermes	NOUN	thermes
pas	ADV	pas
ainsi	ADV	ainsi
Swann	PROPN	Swann
questions	NOUN	question
Hélas	INTJ	Hélas
en	ADP	en
famille	NOUN	famille
tendit	VERB	tendre
un	DET	un
Tulley	PROPN	Tulley
moi	PRON	moi
une	DET	un
Swann	PROPN	Swann
se	PRON	se
?	PUNCT	?
Je	PRON	je
,	PUNCT	,
doigts	NOUN	doigt
vieux	ADJ	vieux
fut	AUX	être
est	AUX	être
donateur	NOUN	donateur
établissement	NOUN	établissement
bon	ADJ	bon
moi	PRON	moi
Festus	PROPN	Festus
.	PUNCT	.
héritière	NOUN	héritier
de	ADP	de
de	ADP	de
n'	ADV	n'
entendre	VERB	entendre
naissance	NOUN	naissance
n'	ADV	n'
verbrooke	PROPN	verbrooke
coin	NOUN	coin
avaient	AUX	avoir
n'	ADV	n'
bail	NOUN	bail
pas	ADV	pas
Je	PRON	je
trouver	VERB	trouver
servir	VERB	servir
des	ADP	de
monsieur	NOUN	Monsieur
tout	ADV	tout
madame	NOUN	monsieur
.	PUNCT	.
Ashford	PROPN	Ashford
resservis	VERB	resservir
mes	DET	mon
plaisir	NOUN	plaisir
jamais	ADV	jamais
Je	PRON	je
-il	PRON	il
.	PUNCT	.
plus	ADV	plus
dans	ADP	dans
était	AUX	être
des	ADP	de
madame	NOUN	monsieur
.	PUNCT	.
la	PRON	le
—	PUNCT	—
A	ADP	à
à	ADP	à
parler	VERB	parler
passé	NOUN	passé
tout	ADV	tout
parents	NOUN	parent
bon	ADJ	bon
à	ADP	à
.	PUNCT	.
.	PUNCT	.
,	PUNCT	,
Pourquoi	ADV	pourquoi
répondit	VERB	répondre
des	ADP	de
.	PUNCT	.
On	PRON	on
cet	DET	ce
d'	ADP	de
suis	AUX	être
est	AUX	être
celui	PRON	celui
que	SCONJ	que
me	PRON	me
reprendre	VERB	reprendre
cent	NUM	cent
m'	PRON	me
,	PUNCT	,
Il	PRON	il
est	AUX	être
plupart	NOUN	plupart
des	DET	un
part	VERB	partir
,	PUNCT	,
le	DET	le
retrouve	VERB	retrouve
Oui	ADV	oui
avoir	AUX	avoir
avait	VERB	avoir
et	CCONJ	et
,	PUNCT	,
,	PUNCT	,
...	PUNCT	...
de	ADP	de
,	PUNCT	,
avait	VERB	avoir
était	AUX	être
de	ADP	de
excuser	VERB	excuser
laisser	VERB	laisser
je	PRON	je
Vous	PRON	vous
sont	AUX	être
Très	ADV	très
les	DET	le
Arkansas	PROPN	Arkansas
trait	NOUN	trait
:	PUNCT	:
carte	NOUN	carte
.	PUNCT	.
?	PUNCT	?
Merci	NOUN	merci
une	DET	un
une	DET	un
PCV	NOUN	pcv
demandai	VERB	demander
cas	NOUN	cas
à	ADP	à
ni	CCONJ	ni
Hot	PROPN	Hot
lieux	NOUN	lieu
là	ADV	là
saurez	VERB	savoir
Sarrazin	PROPN	Sarrazin
plaisanterie	NOUN	plaisanterie
êtes	AUX	être
posa	VERB	poser
autre	ADJ	autre
a	AUX	avoir
de	ADP	de
et	CCONJ	et
vos	DET	votre
-je	PRON	je
de	ADP	de
Vous	PRON	vous
—	PUNCT	—
ne	ADV	ne
ai	VERB	avoir
tort	NOUN	tort
des	ADP	de
même	ADV	même
laisser	VERB	laisser
.	PUNCT	.
,	PUNCT	,
vous	PRON	vous
,	PUNCT	,
irais	VERB	aller
,	PUNCT	,
particulier	ADJ	particulier
que	SCONJ	que
un	DET	un
Quels	DET	quel
?	PUNCT	?
considérables	ADJ	considérable
honneur	NOUN	honneur
ma	DET	mon
de	ADP	de
messager	NOUN	messager
,	PUNCT	,
et	CCONJ	et
m'	PRON	me
mes	DET	mon
—	PUNCT	—
suppose	VERB	suppose
