Oh	INTJ	Oh
compterait	VERB	compter
à	ADP	à
retiendrait	VERB	retenir
des	ADP	de
rouge	ADJ	rouge
réponse	NOUN	réponse
dire	VERB	dire
visiblement	ADV	visiblement
--	PUNCT	--
cet	DET	ce
vous	PRON	vous
Mais	CCONJ	mais
oubliés	VERB	oublier
fois	NOUN	fois
Cette	DET	ce
sa	DET	son
photographie	NOUN	photographie
et	CCONJ	et
-	PROPN	-
la	DET	le
votre	DET	votre
dans	ADP	dans
consommateurs	NOUN	consommateur
gardiens	NOUN	gardien
me	PRON	me
non	ADV	non
ni	CCONJ	ni
?	PUNCT	?
beaucoup	ADV	beaucoup
du	ADP	de
Mais	CCONJ	mais
-	PROPN	-
Il	PRON	il
reprises	NOUN	reprise
se	PRON	se
tout	ADV	tout
Il	PRON	il
très	ADV	très
du	ADP	de
avait	AUX	avoir
donner	VERB	donner
.	PUNCT	.
nous	PRON	nous
vie	NOUN	vie
que	PRON	que
Encore	ADV	encore
sans	ADP	sans
mon	DET	mon
qui	PRON	qui
hâtait	VERB	hâter
,	PUNCT	,
Deux	NUM	Deux
martèlement	NOUN	martèlement
.	PUNCT	.
voix	NOUN	voix
.	PUNCT	.
le	DET	le
et	CCONJ	et
dossier	NOUN	dossier
vers	ADP	vers
.	PUNCT	.
extra-lucides	ADJ	extra-lucide
tête	NOUN	tête
postes	NOUN	poste
tourne	VERB	tourne
désigné	VERB	désigner
,	PUNCT	,
»	PUNCT	»
qu'	SCONJ	que
autre	PRON	autre
ce	DET	ce
à	ADP	à
tête	NOUN	tête
une	DET	un
devant	ADP	devant
Le	DET	le
Un	DET	un
murmure	VERB	murmure
écrire	VERB	écrire
mon	DET	mon
.	PUNCT	.
aisselles	NOUN	aisselle
quelqu'	PRON	quelqu'
mieux	ADV	mieux
jeune	ADJ	jeune
il	PRON	il
omoplate	NOUN	omoplate
est	AUX	être
un	PRON	un
il	PRON	il
agents	NOUN	agent
le	DET	le
-il	PRON	il
commissaire	NOUN	commissaire
quand	ADV	quand
Il	PRON	il
temps	NOUN	temps
--	PUNCT	--
J'	PRON	je
.	PUNCT	.
une	DET	un
père	NOUN	père
--	PUNCT	--
V.	PUNCT	v.
sur	ADP	sur
?	PUNCT	?
Nous	PRON	nous
père	NOUN	père
répondis	VERB	répondre
changea	VERB	changer
d'	ADP	de
,	PUNCT	,
ni	CCONJ	ni
l'	DET	le
comprenait	VERB	comprendre
a	AUX	avoir
,	PUNCT	,
gouttes	NOUN	goutte
brusquement	ADV	brusquement
en	ADP	en
métro	NOUN	métro
sûr	ADJ	sûr
ma	DET	mon
j'	PRON	je
vous	PRON	vous
.	PUNCT	.
nous	PRON	nous
des	DET	un
nous	PRON	nous
,	PUNCT	,
avez	VERB	avoir
s'	SCONJ	s'
a	AUX	avoir
5	NUM	5
,	PUNCT	,
.	PUNCT	.
de	ADP	de
mes	DET	mon
aussitôt	ADV	aussitôt
fils	NOUN	fils
entrer	VERB	entrer
les	DET	le
je	PRON	je
Mais	CCONJ	mais
il	PRON	il
je	PRON	je
homme	NOUN	homme
et	CCONJ	et
que	SCONJ	que
retournent	VERB	retourner
toussote	VERB	toussote
maladie	NOUN	maladie
Il	PRON	il
français	ADJ	français
preuve	NOUN	preuve
...	PUNCT	...
son	DET	son
m'	PRON	me
commissaire	NOUN	commissaire
vérifier	VERB	vérifier
a	AUX	avoir
vous	PRON	vous
ma	DET	mon
Le	DET	le
de	ADP	de
qu'	SCONJ	que
en	ADP	en
père	NOUN	père
cette	DET	ce
quelque	DET	quelque
reprises	NOUN	reprise
entendez	VERB	entendre
Travail	NOUN	travail
voulez	VERB	vouloir
on	PRON	on
sud-américain	ADJ	sud-américain
.	PUNCT	.
Nous	PRON	nous
,	PUNCT	,
rictus	NOUN	rictus
à	ADP	à
-on	PRON	on
nervosité	NOUN	nervosité
réduise	VERB	réduire
face	NOUN	face
?	PUNCT	?
me	PRON	me
sauvé	VERB	sauver
le	DET	le
vous	PRON	vous
Un	DET	un
tourne	VERB	tourne
aurait	AUX	avoir
de	ADP	de
avec	ADP	avec
père	NOUN	père
avais	VERB	avoir
de	ADP	de
le	DET	le
paix	NOUN	paix
l'	DET	le
,	PUNCT	,
de	ADP	de
tas	NOUN	tas
avance	NOUN	avance
.	PUNCT	.
Comme	ADP	comme
Mais	CCONJ	mais
mon	DET	mon
hésite	VERB	hésite
était	AUX	être
consultations	NOUN	consultation
s'	PRON	se
recoins	NOUN	recoin
nerveux	ADJ	nerveux
de	ADP	de
.	PUNCT	.
crié	VERB	crier
Nansen	PROPN	Nansen
présente	VERB	présente
Comment	ADV	comment
Ses	DET	son
quand	SCONJ	quand
Mahon	PROPN	Mahon
:	PUNCT	:
nous	PRON	nous
penche	VERB	penche
rende	VERB	rendre
en	PRON	en
.	PUNCT	.
à	ADP	à
suis	VERB	suivre
une	DET	un
peut-être	ADV	peut-être
sommes	AUX	être
,	PUNCT	,
perdais	VERB	perdre
machine	NOUN	machine
dans	ADP	dans
--	PUNCT	--
mais	CCONJ	mais
...	PUNCT	...
la	DET	le
que	SCONJ	que
.	PUNCT	.
mit	VERB	mettre
.	PUNCT	.
»	PUNCT	»
me	PRON	me
Nous	PRON	nous
.	PUNCT	.
la	DET	le
mon	DET	mon
Vous	PRON	vous
Je	PRON	je
station	NOUN	station
nous	PRON	nous
salade	NOUN	salade
de	ADP	de
d'	ADP	de
«	PUNCT	«
qu'	SCONJ	que
.	PUNCT	.
.	PUNCT	.
dans	ADP	dans
l'	DET	le
souffre	VERB	souffrir
calendrier	NOUN	calendrier
on	PRON	on
.	PUNCT	.
sur	ADP	sur
père	NOUN	père
son	DET	son
travail	NOUN	travail
était	VERB	être
Il	PRON	il
ça	PRON	cela
Et	CCONJ	et
un	DET	un
des	ADP	de
que	SCONJ	que
à	ADP	à
mains	NOUN	main
lui	PRON	lui
L'	DET	le
la	DET	le
:	PUNCT	:
terrasse	NOUN	terrasse
le	DET	le
équilibre	NOUN	équilibre
mots	NOUN	mot
me	PRON	me
nos	DET	notre
Ils	PRON	il
.	PUNCT	.
vieux	ADJ	vieux
allumé	VERB	allumer
me	PRON	me
de	ADP	de
,	PUNCT	,
se	PRON	se
de	ADP	de
Nous	PRON	nous
a	AUX	avoir
inspecteur	NOUN	inspecteur
vous	PRON	vous
s'	PRON	se
simple	ADJ	simple
«	PUNCT	«
la	DET	le
père	NOUN	père
,	PUNCT	,
,	PUNCT	,
relever	VERB	relever
même	ADV	même
?	PUNCT	?
passer	VERB	passer
poussé	VERB	pousser
a	AUX	avoir
de	ADP	de
pourquoi	ADV	pourquoi
:	PUNCT	:
souffle	NOUN	souffle
n'	ADV	n'
d'	ADP	de
Kléber	PROPN	Kléber
assis	VERB	asseoir
dire	VERB	dire
événements	NOUN	événement
de	ADP	de
,	PUNCT	,
de	ADP	de
»	PUNCT	»
.	PUNCT	.
Je	PRON	je
chez	ADP	chez
me	PRON	me
.	PUNCT	.
deux	PRON	deux
au	ADP	au
et	CCONJ	et
Mon	DET	mon
Il	PRON	il
.	PUNCT	.
j'	PRON	je
leurs	DET	leur
en	ADP	en
se	PRON	se
Vous	PRON	vous
Mais	CCONJ	mais
.	PUNCT	.
Ça	PRON	cela
Il	PRON	il
avais	VERB	avoir
et	CCONJ	et
n'	ADV	n'
«	PUNCT	«
lui	PRON	lui
était	AUX	être
disposer	VERB	disposer
,	PUNCT	,
est	AUX	être
à	ADP	à
une	DET	un
ma	DET	mon
la	DET	le
un	DET	un
Russes	NOUN	russe
y	PRON	y
chantage	NOUN	chantage
coup	NOUN	coup
drôle	NOUN	drôle
Vous	PRON	vous
.	PUNCT	.
thé	NOUN	thé
,	PUNCT	,
mis	VERB	mettre
auxquelles	PRON	auxquelles
misère	NOUN	misère
titubant	VERB	tituber
.	PUNCT	.
du	ADP	de
était	AUX	être
mais	CCONJ	mais
souvenu	VERB	souvenir
dont	PRON	dont
n'	ADV	n'
était	AUX	être
Mon	DET	mon
m'	PRON	me
avez	AUX	avoir
enseigne	NOUN	enseigne
J'	PRON	je
l'	DET	le
était	VERB	être
salons	NOUN	salon
les	DET	le
voyait	VERB	voir
.	PUNCT	.
paraît	VERB	paraître
assis	VERB	asseoir
de	ADP	de
:	PUNCT	:
.	PUNCT	.
Et	CCONJ	et
près	ADV	près
nous	PRON	nous
cela	PRON	cela
quand	SCONJ	quand
décidé	VERB	décider
avait	VERB	avoir
suant	VERB	suer
vous	PRON	vous
Si	SCONJ	si
épaule	NOUN	épaule
et	CCONJ	et
raconter	VERB	raconter
panier	NOUN	panier
de	ADP	de
votre	DET	votre
,	PUNCT	,
pas	ADV	pas
à	ADP	à
réputation	NOUN	réputation
il	PRON	il
souviens	VERB	souvenir
En	ADP	en
qu'	SCONJ	que
vous	PRON	vous
Nous	PRON	nous
ces	DET	ce
suspecte	ADJ	suspect
lui	PRON	lui
votre	DET	votre
alcool	NOUN	alcool
.	PUNCT	.
me	PRON	me
de	ADP	de
il	PRON	il
et	CCONJ	et
répondu	VERB	répondre
,	PUNCT	,
les	DET	le
cet	DET	ce
sous	ADP	sous
sur	ADP	sur
s.	PROPN	s.
?	PUNCT	?
désignant	VERB	désigner
me	PRON	me
Ce	DET	ce
grognement	NOUN	grognement
foie	NOUN	foie
n'	ADV	n'
incongru	ADJ	incongru
héros	NOUN	héros
pris	VERB	prendre
l'	DET	le
?	PUNCT	?
dévisage	VERB	dévisager
à	ADP	à
vous	PRON	vous
.	PUNCT	.
à	ADP	à
la	DET	le
lui	PRON	lui
l'	PRON	l'
et	CCONJ	et
femme	NOUN	femme
,	PUNCT	,
.	PUNCT	.
assis	VERB	asseoir
l'	DET	le
père	NOUN	père
On	PRON	on
,	PUNCT	,
tellement	ADV	tellement
-	PRON	-
Un	DET	un
d'	ADP	de
sentait	VERB	sentir
me	PRON	me
porte	VERB	porte
telle	ADJ	tel
la	DET	le
des	DET	un
que	SCONJ	que
commander	VERB	commander
Alors	ADV	alors
en	ADP	en
vous	PRON	vous
soin	NOUN	soin
J'	PRON	je
déclarait	VERB	déclarer
que	PRON	que
qui	PRON	qui
Il	PRON	il
l'	DET	le
accrocher	VERB	accrocher
Il	PRON	il
.	PUNCT	.
somme	NOUN	somme
recherche	NOUN	recherche
au	ADP	au
l'	DET	le
«	PUNCT	«
morale	ADJ	moral
à	ADP	à
--	PUNCT	--
pas	ADV	pas
Il	PRON	il
V	PROPN	V
dix-sept	NUM	dix-sept
le	DET	le
entré	VERB	entrer
J'	PRON	je
devenu	VERB	devenir
:	PUNCT	:
dix	NUM	dix
osais	VERB	oser
je	PRON	je
verre	NOUN	verre
.	PUNCT	.
frisé	VERB	friser
Marcheret	PROPN	Marcheret
à	ADP	à
.	PUNCT	.
ai	AUX	avoir
plus	ADV	plus
trinqué	VERB	trinquer
»	PUNCT	»
verre	NOUN	verre
il	PRON	il
,	PUNCT	,
entre	ADP	entre
secrets	ADJ	secret
faut	VERB	falloir
opposait	VERB	opposer
je	PRON	je
époque	NOUN	époque
avec	ADP	avec
,	PUNCT	,
.	PUNCT	.
.	PUNCT	.
plus	ADV	plus
renonçai	VERB	renoncer
Ternes	NOUN	terne
de	ADP	de
le	DET	le
de	ADP	de
air	NOUN	air
Nous	PRON	nous
ai	AUX	avoir
mis	VERB	mettre
détail	NOUN	détail
tuer	VERB	tuer
souvent	ADV	souvent
,	PUNCT	,
le	DET	le
une	DET	un
on	PRON	on
événement	NOUN	événement
de	ADP	de
amis	NOUN	ami
.	PUNCT	.
aviez	VERB	avoir
-il	PRON	il
par	ADP	par
:	PUNCT	:
gras	ADJ	gras
avenue	NOUN	avenue
un	DET	un
fonds	NOUN	fonds
paraît	VERB	paraître
bon	VERB	bon
,	PUNCT	,
ne	ADV	ne
vers	ADP	vers
rien	PRON	rien
la	DET	le
.	PUNCT	.
heureux	ADJ	heureux
que	SCONJ	que
direction	NOUN	direction
a	AUX	avoir
ai	AUX	avoir
.	PUNCT	.
tables	NOUN	table
en	ADP	en
d'	ADP	de
tout	PRON	tout
douloureux	ADJ	douloureux
l'	DET	le
n'	ADV	n'
avenue	NOUN	avenue
»	PUNCT	»
voyais	VERB	voir
la	DET	le
en	PRON	en
allaient	VERB	aller
de	ADP	de
avons	AUX	avoir
taper	VERB	taper
,	PUNCT	,
hôtel	NOUN	hôtel
qu'	SCONJ	que
il	PRON	il
vous	PRON	vous
me	PRON	me
,	PUNCT	,
de	ADP	de
mesurait	VERB	mesurer
et	CCONJ	et
Qu'	PRON	qu'
possible	ADJ	possible
est	VERB	être
nous	PRON	nous
même	ADJ	même
j'	PRON	je
personne	PRON	personne
-	PROPN	-
s'	PRON	se
.	PUNCT	.
.	PUNCT	.
à	ADP	à
insister	VERB	insister
.	PUNCT	.
Nous	PRON	nous
les	DET	le
observant	VERB	observer
Murraille	PROPN	Murraille
s'	PRON	se
plus	ADV	plus
dont	PRON	dont
double	ADJ	double
projetais	VERB	projeter
pas	NOUN	pas
Tout	ADV	tout
éprouvais	VERB	éprouver
sur	ADP	sur
François	PROPN	François
,	PUNCT	,
prenaient	VERB	prendre
Et	CCONJ	et
table	NOUN	table
Je	PRON	je
sur	ADP	sur
.	PUNCT	.
salade	NOUN	salade
la	DET	le
une	DET	un
compagnie	NOUN	compagnie
est	AUX	être
beaucoup	ADV	beaucoup
avons	AUX	avoir
d'	ADP	de
extrêmement	ADV	extrêmement
suivions	VERB	suivre
.	PUNCT	.
même	PRON	même
comprendre	VERB	comprendre
avait	AUX	avoir
du	ADP	de
en	ADP	en
de	ADP	de
!	PUNCT	!
excuserez	VERB	excuser
intérêt	NOUN	intérêt
Il	PRON	il
avait	VERB	avoir
pleurer	VERB	pleurer
poser	VERB	poser
mètres	NOUN	mètre
,	PUNCT	,
d'	ADP	de
voisine	ADJ	voisin
engouffrer	VERB	engouffrer
assis	VERB	asseoir
regrettable	ADJ	regrettable
avaient	AUX	avoir
parlé	VERB	parler
rousse	ADJ	roux
vous	PRON	vous
dernière	ADJ	dernier
de	ADP	de
fixement	ADV	fixement
sûr	ADJ	sûr
banc	NOUN	banc
tenait	VERB	tenir
Ternes	PROPN	Ternes
si	ADV	si
cœur	NOUN	cœur
place	NOUN	place
métro	NOUN	métro
,	PUNCT	,
ai	AUX	avoir
personnes	NOUN	personne
Un	DET	un
et	CCONJ	et
dit	VERB	dire
échouer	VERB	échouer
bourbon	NOUN	bourbon
je	PRON	je
le	DET	le
.	PUNCT	.
changé	VERB	changer
laideur	NOUN	laideur
vos	DET	votre
moi	PRON	moi
reverrais	VERB	revoir
«	PUNCT	«
.	PUNCT	.
serrait	VERB	serrer
avais	VERB	avoir
ne	ADV	ne
et	CCONJ	et
étais	AUX	être
,	PUNCT	,
je	PRON	je
entré	VERB	entrer
parfum	NOUN	parfum
de	ADP	de
me	PRON	me
la	DET	le
besoin	NOUN	besoin
Quand	SCONJ	quand
table	NOUN	table
peut	VERB	pouvoir
étaient	AUX	être
entre	ADP	entre
.	PUNCT	.
curiosité	NOUN	curiosité
immangeable	ADJ	immangeable
jamais	ADV	jamais
êtes	AUX	être
effarouche	VERB	effarouche
j'	PRON	je
pas	ADV	pas
voulu	VERB	vouloir
Nous	PRON	nous
baissée	VERB	baisser
de	ADP	de
secouer	VERB	secouer
rien	PRON	rien
mise	NOUN	mise
nous	PRON	nous
sont	AUX	être
long	ADJ	long
«	PUNCT	«
force	NOUN	force
dans	ADP	dans
de	ADP	de
Il	PRON	il
ai	AUX	avoir
un	DET	un
général	NOUN	général
mètres	NOUN	mètre
me	PRON	me
avenue	NOUN	avenue
bar	NOUN	bar
y	PRON	y
calvaire	NOUN	calvaire
.	PUNCT	.
égard	NOUN	égard
serveuses	NOUN	serveuse
inquiétante	ADJ	inquiétant
comme	SCONJ	comme
que	PRON	que
Aux	ADP	à
trouver	VERB	trouver
la	DET	le
cela	PRON	cela
bras	NOUN	bras
est	AUX	être
le	DET	le
?	PUNCT	?
Vous	PRON	vous
oiseaux	NOUN	oiseau
une	DET	un
notre	DET	notre
préféré	VERB	préférer
J'	PRON	je
métro	NOUN	métro
que	SCONJ	que
On	PRON	on
son	DET	son
ne	ADV	ne
place	NOUN	place
approche	VERB	approche
le	DET	le
?	PUNCT	?
métro	NOUN	métro
homme	NOUN	homme
moi	PRON	moi
vous	PRON	vous
en	ADP	en
retrouver	VERB	retrouver
les	DET	le
leur	DET	leur
me	PRON	me
à	ADP	à
cantonade	NOUN	cantonade
deux	NUM	deux
mon	DET	mon
me	PRON	me
d'	ADP	de
.	PUNCT	.
à	ADP	à
.	PUNCT	.
disait	VERB	dire
moi	PRON	moi
placer	VERB	placer
un	DET	un
suis	AUX	être
à	ADP	à
moi	PRON	moi
.	PUNCT	.
de	ADP	de
.	PUNCT	.
je	PRON	je
quelques	DET	quelque
et	CCONJ	et
pour	ADP	pour
sommes	AUX	être
êtes	AUX	être
train	NOUN	train
mais	CCONJ	mais
d'	DET	d'
n'	ADV	n'
il	PRON	il
s'	SCONJ	s'
,	PUNCT	,
brasserie	NOUN	brasserie
je	PRON	je
Clos	PROPN	Clos
épaule	NOUN	épaule
uniformes	NOUN	uniforme
Il	PRON	il
l'	DET	le
vivre	VERB	vivre
vous	PRON	vous
œil	NOUN	œil
on	PRON	on
sachant	VERB	savoir
trop	ADV	trop
-	PROPN	-
attitude	NOUN	attitude
George	PROPN	George
fuite	NOUN	fuite
ans	NOUN	an
.	PUNCT	.
,	PUNCT	,
de	ADP	de
Dix	NUM	Dix
a	AUX	avoir
ai	AUX	avoir
et	CCONJ	et
à	ADP	à
Poisseux	ADJ	poisseux
,	PUNCT	,
dans	ADP	dans
comme	ADP	comme
Si	SCONJ	si
plus	ADV	plus
pas	ADV	pas
dernier	ADJ	dernier
...	PUNCT	...
:	PUNCT	:
le	DET	le
peut-être	ADV	peut-être
C'	PRON	ce
gauche	NOUN	gauche
vous	PRON	vous
de	ADP	de
?	PUNCT	?
dans	ADP	dans
de	ADP	de
joyeuse	ADJ	joyeux
votre	DET	votre
--	PUNCT	--
journaliste	NOUN	journaliste
le	DET	le
il	PRON	il
à	ADP	à
lui	PRON	lui
a	AUX	avoir
.	PUNCT	.
devant	ADP	devant
la	DET	le
,	PUNCT	,
se	PRON	se
,	PUNCT	,
est	AUX	être
j'	PRON	je
en	PRON	en
j'	PRON	je
Wagram	PROPN	Wagram
un	DET	un
vu	VERB	voir
terrasse	NOUN	terrasse
.	PUNCT	.
,	PUNCT	,
barmen	NOUN	barman
démarche	NOUN	démarche
ans	NOUN	an
quoi	PRON	quoi
.	PUNCT	.
tenait	VERB	tenir
Petrissan'	PROPN	Petrissan'
air	NOUN	air
apprêtais	VERB	apprêter
mais	CCONJ	mais
.	PUNCT	.
Une	DET	un
étaient	AUX	être
sûr	ADJ	sûr
.	PUNCT	.
.	PUNCT	.
j'	PRON	je
détendu	ADJ	détendu
sommes	AUX	être
pores	NOUN	pore
m'	PRON	me
point	NOUN	point
pensé	VERB	penser
.	PUNCT	.
savoir	VERB	savoir
mon	DET	mon
avez	AUX	avoir
,	PUNCT	,
les	DET	le
mais	CCONJ	mais
.	PUNCT	.
Brasserie	NOUN	brasserie
dès	ADP	dès
a	AUX	avoir
voulait	VERB	vouloir
ne	ADV	ne
!	PUNCT	!
faire	VERB	faire
quoi	PRON	quoi
exalté	VERB	exalter
Finalement	ADV	finalement
C'	PRON	ce
heure	NOUN	heure
les	DET	le
déclarer	VERB	déclarer
blond	NOUN	blond
:	PUNCT	:
messieurs	NOUN	monsieur
la	DET	le
mon	DET	mon
désastre	NOUN	désastre
du	ADP	de
,	PUNCT	,
.	PUNCT	.
MM.	NOUN	mm.
un	DET	un
il	PRON	il
qu'	SCONJ	que
bar	NOUN	bar
ai	AUX	avoir
.	PUNCT	.
jour	NOUN	jour
père	NOUN	père
une	DET	un
veux	VERB	vouloir
faut	VERB	falloir
Vous	PRON	vous
.	PUNCT	.
et	CCONJ	et
.	PUNCT	.
ai	AUX	avoir
Je	PRON	je
,	PUNCT	,
suis	AUX	être
plus	ADV	plus
épaules	NOUN	épaule
J'	PRON	je
blanches	ADJ	blanc
ces	DET	ce
voulu	VERB	vouloir
piteuse	ADJ	piteux
souhaité	VERB	souhaiter
et	CCONJ	et
le	PRON	le
a	VERB	avoir
entrer	VERB	entrer
vestimentaire	ADJ	vestimentaire
marchait	VERB	marcher
certaines	DET	certain
ému	VERB	émouvoir
,	PUNCT	,
vous	PRON	vous
L'	DET	le
.	PUNCT	.
Wrangel	PROPN	Wrangel
-vous	PRON	vous
questions	NOUN	question
»	PUNCT	»
vedettes	NOUN	vedette
prenions	VERB	prendre
.	PUNCT	.
quitter	VERB	quitter
j'	PRON	je
.	PUNCT	.
étiez	AUX	être
bande	NOUN	bande
pouvez	VERB	pouvoir
Rien	PRON	rien
métro	NOUN	métro
du	ADP	de
vivions	VERB	vivre
même	ADJ	même
--	PUNCT	--
nous	PRON	nous
de	ADP	de
semblé	VERB	sembler
nous	PRON	nous
que	SCONJ	que
,	PUNCT	,
baron	NOUN	baron
.	PUNCT	.
je	PRON	je
Nous	PRON	nous
Marcheret	PROPN	Marcheret
à	ADP	à
conversations	NOUN	conversation
s'	PRON	se
puisqu'	SCONJ	puisque
pardonne	VERB	pardonne
qu'	SCONJ	que
voisines	ADJ	voisin
à	ADP	à
douceur	NOUN	douceur
un	DET	un
un	DET	un
honte	NOUN	honte
.	PUNCT	.
tête	NOUN	tête
Me	PRON	me
l'	DET	le
armée	NOUN	armée
tous	ADJ	tout
face	NOUN	face
contre	ADP	contre
cet	DET	ce
cru	VERB	croire
craint	VERB	craindre
bien	ADV	bien
et	CCONJ	et
...	PUNCT	...
plus	ADV	plus
petit	ADJ	petit
Wrangel	PROPN	Wrangel
était	AUX	être
vous	PRON	vous
.	PUNCT	.
pour	ADP	pour
la	DET	le
moi	PRON	moi
rond	ADJ	rond
minuit	NOUN	minuit
bas	ADJ	bas
--	PUNCT	--
premier	ADJ	premier
marché	VERB	marcher
aimait	VERB	aimer
intéressait	VERB	intéresser
de	ADP	de
moindre	ADJ	moindre
tous	ADJ	tout
tard	ADV	tard
Nous	PRON	nous
du	ADP	de
bras	NOUN	bras
On	PRON	on
enchantait	VERB	enchanter
j'	PRON	je
premier	ADJ	premier
.	PUNCT	.
ne	ADV	ne
jugé	VERB	juger
pris	VERB	prendre
m'	PRON	me
l'	DET	le
méritez	VERB	mériter
la	DET	le
pas	ADV	pas
je	PRON	je
Il	PRON	il
du	ADP	de
commissaire	NOUN	commissaire
désolé	ADJ	désolé
se	PRON	se
à	ADP	à
voix	NOUN	voix
moral	NOUN	moral
s'	PRON	se
je	PRON	je
piste	NOUN	piste
Turquie	PROPN	Turquie
Constantinople	PROPN	Constantinople
,	PUNCT	,
,	PUNCT	,
la	DET	le
je	PRON	je
.	PUNCT	.
père	NOUN	père
,	PUNCT	,
m'	PRON	me
semaine	NOUN	semaine
inertie	NOUN	inertie
fait	VERB	faire
A	ADP	à
Ring	PROPN	Ring
l'	DET	le
pas	ADV	pas
me	PRON	me
a	AUX	avoir
y	PRON	y
épisode	NOUN	épisode
Bien	ADV	bien
ai	AUX	avoir
de	ADP	de
j'	PRON	je
savez	VERB	savoir
comme	ADP	comme
du	ADP	de
bouche	NOUN	bouche
Impossible	ADJ	impossible
s'	PRON	se
.	PUNCT	.
demander	VERB	demander
était	AUX	être
Vous	PRON	vous
,	PUNCT	,
et	CCONJ	et
--	PUNCT	--
des	ADP	de
.	PUNCT	.
la	DET	le
armées	NOUN	armée
-vous	PRON	vous
la	DET	le
Rien	PRON	rien
de	ADP	de
,	PUNCT	,
aurais	AUX	avoir
J'	PRON	je
l	DET	l
un	DET	un
restaurant	NOUN	restaurant
jamais	ADV	jamais
le	DET	le
venu	VERB	venir
ne	ADV	ne
est	AUX	être
souvenir	NOUN	souvenir
,	PUNCT	,
partir	VERB	partir
vous	PRON	vous
connaissais	VERB	connaître
des	ADP	de
dans	ADP	dans
vous	PRON	vous
brusquement	ADV	brusquement
s'	PRON	se
à	ADP	à
Champagne	PROPN	Champagne
Niel	PROPN	Niel
Murraille	PROPN	Murraille
,	PUNCT	,
en	ADP	en
également	ADV	également
commandé	VERB	commander
demande	VERB	demande
a	AUX	avoir
si	SCONJ	si
Après	ADP	après
Cette	DET	ce
Quelle	DET	quel
.	PUNCT	.
regardant	VERB	regarder
un	DET	un
Il	PRON	il
par	ADP	par
âgé	ADJ	âgé
nom	NOUN	nom
face	NOUN	face
nous	PRON	nous
sanglotait	VERB	sangloter
une	DET	un
un	DET	un
dans	ADP	dans
-	PROPN	-
.	PUNCT	.
ai	AUX	avoir
explication	NOUN	explication
pousser	VERB	pousser
combien	ADV	combien
qu'	SCONJ	que
mon	DET	mon
agrippait	VERB	agripper
étais	AUX	être
portiers	NOUN	portier
père	NOUN	père
?	PUNCT	?
,	PUNCT	,
passé	VERB	passer
votre	DET	votre
s'	PRON	se
bourbon	NOUN	bourbon
remarque	NOUN	remarque
Il	PRON	il
le	DET	le
double	ADJ	double
provoqué	VERB	provoquer
bon	ADJ	bon
avenue	NOUN	avenue
avait	AUX	avoir
émet	VERB	émettre
que	SCONJ	que
leurs	DET	leur
interrogé	VERB	interroger
dans	ADP	dans
Eh	INTJ	Eh
Foucré	PROPN	Foucré
tournure	NOUN	tournure
la	DET	le
Et	CCONJ	et
asseoir	VERB	asseoir
à	ADP	à
de	ADP	de
de	ADP	de
,	PUNCT	,
fréquentiez	VERB	fréquenter
.	PUNCT	.
le	DET	le
au	ADP	au
haut	ADJ	haut
pressé	VERB	presser
noctambules	NOUN	noctambule
,	PUNCT	,
avons	AUX	avoir
venus	VERB	venir
hasard	NOUN	hasard
second	ADJ	second
un	DET	un
homme	NOUN	homme
en	ADP	en
chamarrés	VERB	chamarrer
Je	PRON	je
'	DET	'
.	PUNCT	.
en	PRON	en
fêter	VERB	fêter
ancien	ADJ	ancien
partie	NOUN	partie
,	PUNCT	,
lumineuse	ADJ	lumineux
s'	PRON	se
il	PRON	il
,	PUNCT	,
,	PUNCT	,
le	DET	le
au	ADP	au
chic	NOUN	chic
,	PUNCT	,
combattant	NOUN	combattant
de	ADP	de
,	PUNCT	,
suis	AUX	être
on	PRON	on
plaintif	ADJ	plaintif
votre	DET	votre
rancune	NOUN	rancune
passé	VERB	passer
ne	ADV	ne
Silver	PROPN	Silver
pensais	VERB	penser
neutre	ADJ	neutre
m'	PRON	me
curieux	ADJ	curieux
en	ADP	en
j'	PRON	je
une	DET	un
ce	DET	ce
pas	ADV	pas
dos	NOUN	dos
--	PUNCT	--
la	DET	le
pénible	ADJ	pénible
en	PRON	en
oscillant	VERB	osciller
reconnaissez	VERB	reconnaître
des	ADP	de
--	PUNCT	--
Il	PRON	il
vôtre	NOUN	vôtre
que	SCONJ	que
la	DET	le
Vous	PRON	vous
coupe	NOUN	coupe
voulait	VERB	vouloir
de	ADP	de
ça	PRON	cela
Le	DET	le
ne	ADV	ne
On	PRON	on
Vous	PRON	vous
.	PUNCT	.
Lorraineque	PRON	lorraineque
rire	NOUN	rire
.	PUNCT	.
plus	ADV	plus
vous	PRON	vous
.	PUNCT	.
,	PUNCT	,
ans	NOUN	an
élégance	NOUN	élégance
a	AUX	avoir
nous	PRON	nous
trouble	VERB	trouble
décor	NOUN	décor
lieux	NOUN	lieu
j'	PRON	je
,	PUNCT	,
plus	ADV	plus
vers	ADP	vers
nous	PRON	nous
en	PRON	en
collent	VERB	coller
-	PROPN	-
le	DET	le
,	PUNCT	,
rôle	NOUN	rôle
»	PUNCT	»
n'	ADV	n'
une	DET	un
dépassent	VERB	dépasser
souffle	NOUN	souffle
.	PUNCT	.
-vous	PRON	vous
Il	PRON	il
«	PUNCT	«
un	DET	un
si	SCONJ	si
?	PUNCT	?
vous	PRON	vous
